time	flux	sflux
----	----	-----
5.7586124674e+04	9.9995096796e-01	1.3016048645e-05
5.7586145106e+04	9.9994133849e-01	1.3015647129e-05
5.7586165538e+04	9.9998180860e-01	1.3015559640e-05
5.7586185969e+04	1.0000249142e+00	1.3015495226e-05
5.7586206401e+04	1.0000215788e+00	1.3015137687e-05
5.7586226833e+04	9.9999845763e-01	1.3014774028e-05
5.7586247265e+04	1.0000407833e+00	1.3014923004e-05
5.7586267697e+04	1.0000401762e+00	1.3014831727e-05
5.7586288129e+04	1.0000741257e+00	1.3014839926e-05
5.7586308561e+04	1.0000363699e+00	1.3014573121e-05
5.7586328993e+04	9.9999713286e-01	1.3014118233e-05
5.7586349425e+04	1.0000237107e+00	1.3013817861e-05
5.7586369856e+04	1.0000125564e+00	1.3013493886e-05
5.7586390288e+04	9.9997432403e-01	1.3013272150e-05
5.7586410720e+04	9.9993087869e-01	1.3012856088e-05
5.7586431152e+04	9.9996173231e-01	1.3012801266e-05
5.7586451584e+04	1.0000218817e+00	1.3013135083e-05
5.7586472016e+04	9.9989626513e-01	1.3012335367e-05
5.7586492448e+04	9.9973308355e-01	1.3011338505e-05
5.7586512880e+04	9.9971946736e-01	1.3011012046e-05
5.7586533311e+04	9.9958561192e-01	1.3009911422e-05
5.7586676335e+04	1.0000197594e+00	1.3012713270e-05
5.7586696766e+04	9.9998043793e-01	1.3012833939e-05
5.7586717198e+04	9.9996931836e-01	1.3013855530e-05
5.7586737630e+04	9.9997148556e-01	1.3015498063e-05
5.7586758062e+04	9.9997564000e-01	1.3016722566e-05
5.7586778494e+04	9.9995765297e-01	1.3017076391e-05
5.7586798926e+04	1.0000467680e+00	1.3017826557e-05
5.7586819358e+04	1.0000447361e+00	1.3017478797e-05
5.7586839790e+04	1.0000414639e+00	1.3016987646e-05
5.7586860221e+04	9.9996983682e-01	1.3016007422e-05
5.7586880653e+04	1.0000411773e+00	1.3015809134e-05
5.7586901085e+04	1.0000029977e+00	1.3015133333e-05
5.7586921517e+04	9.9997036502e-01	1.3014749515e-05
5.7586941949e+04	9.9995028562e-01	1.3014618260e-05
5.7586962381e+04	1.0000471649e+00	1.3015315855e-05
