# HJD    Flux    Flux_err
7082.45106481    0.98941    0.00893
7082.45137731    1.01562    0.00859
7082.45168981    1.00232    0.00862
7082.45200231    0.99566    0.00871
7082.45231482    0.99529    0.00903
7082.45262731    0.98872    0.00910
7082.45293981    0.99489    0.00894
7082.45325231    0.99374    0.00915
7082.45356481    0.99567    0.00901
7082.45387731    1.00902    0.00869
7082.45420139    1.01241    0.00866
7082.45451389    1.00005    0.00877
7082.45482639    1.00077    0.00875
7082.45513889    0.99594    0.00891
7082.45545139    1.00088    0.00866
7082.45576389    0.99189    0.00886
7082.45607639    1.00272    0.00867
7082.45638889    0.99565    0.00864
7082.45701389    0.99612    0.00885
7082.45732639    0.99226    0.00891
7082.45763889    0.99487    0.00897
7082.45795139    1.00273    0.00856
7082.45826389    0.99682    0.00873
7082.45858796    1.00045    0.01156
7082.45921296    0.99848    0.00865
7082.45952546    0.99755    0.00876
7082.45983796    0.99258    0.00874
7082.46046296    1.00590    0.00837
7082.46077546    0.99817    0.00856
7082.46108796    1.00363    0.00852
7082.46140046    0.99997    0.00865
7082.46171296    1.00063    0.00865
7082.46202546    1.00057    0.00868
7082.46233796    0.99932    0.00880
7082.46266204    0.99384    0.00857
7082.46297454    1.00332    0.00851
7082.46328704    0.99741    0.00852
7082.46359954    1.00311    0.00848
7082.46391204    1.00850    0.00834
7082.46422454    0.99013    0.00856
7082.46453704    1.00401    0.00836
7082.46484954    0.99717    0.00871
7082.46516204    0.99812    0.00857
7082.46547454    1.00114    0.00837
7082.46578704    1.00733    0.00846
7082.46609954    0.99494    0.00855
7082.46641204    1.00188    0.00844
7082.46672454    1.01705    0.00845
7082.46704861    0.99502    0.00859
7082.46736111    1.00437    0.00870
7082.46767361    0.99948    0.00893
7082.46798611    1.00148    0.00863
7082.46829861    1.00443    0.00837
7082.46861111    1.00712    0.00890
7082.46892361    0.98968    0.00970
7082.46923611    1.01146    0.00911
7082.46954861    0.99660    0.00865
7082.46986111    0.99514    0.00867
7082.47079861    0.99995    0.00833
7082.47174769    1.00160    0.00843
7082.47206019    0.99510    0.00925
7082.47237269    0.99009    0.00877
7082.47299768    0.99557    0.00855
7082.47331019    1.00021    0.00837
7082.47362269    1.00470    0.00843
7082.47393519    0.99511    0.00908
7082.47424769    1.00628    0.00835
7082.47456019    1.00113    0.00848
7082.47487269    0.99968    0.00881
7082.47581019    1.00454    0.00882
7082.47643519    0.98613    0.00924
7082.47738426    1.01214    0.01023
7082.47769676    1.00699    0.00838
7082.47800926    0.99745    0.00850
7082.47832176    1.00094    0.00866
7082.47863426    0.99631    0.00874
7082.47894676    0.99777    0.00850
7082.47925926    1.00603    0.00881
7082.47957176    0.99772    0.00902
7082.47988426    1.00475    0.00823
7082.48019676    1.00529    0.00835
7082.48050926    0.99755    0.00824
7082.48082176    0.99739    0.00826
7082.48114583    0.99698    0.00826
7082.48145833    1.00217    0.00836
7082.48177083    0.99651    0.00836
7082.48208333    1.00065    0.00840
7082.48239583    0.99903    0.00829
7082.48270833    1.00740    0.00832
7082.48302083    1.00393    0.00827
7082.48333333    1.00322    0.00817
7082.48364583    1.00209    0.00863
7082.48395833    1.00694    0.00823
7082.48427083    1.00487    0.00818
7082.48458333    0.99518    0.00867
7082.48489583    1.00280    0.00841
7082.48520833    0.99324    0.00835
7082.48552083    1.00641    0.00820
7082.48584491    0.99634    0.00840
7082.48615741    1.00176    0.00816
7082.48678241    1.00605    0.00812
7082.48709491    1.00258    0.00811
7082.48740741    1.00303    0.00814
7082.48771991    0.99784    0.00841
7082.48803241    0.99626    0.00841
7082.48834491    0.99596    0.00820
7082.48865741    1.00047    0.00839
7082.48896991    0.99479    0.00824
7082.48928241    1.00072    0.00850
7082.48991898    0.99812    0.00826
7082.49023148    1.00048    0.01206
7082.49085648    1.01300    0.00863
7082.49116898    1.00663    0.00809
7082.49148148    0.99663    0.00820
7082.49179398    0.99452    0.00821
7082.49210648    1.00577    0.00813
7082.49241898    0.98810    0.01002
7082.49304398    0.99880    0.00830
7082.49335648    1.00120    0.00944
7082.49398148    0.99918    0.00815
7082.49429398    1.00381    0.00809
7082.49461806    0.99493    0.00829
7082.49493056    1.00263    0.00858
7082.49586806    1.00511    0.01197
7082.49618056    0.99732    0.00867
7082.49649306    0.99276    0.00818
7082.49680556    0.99670    0.00808
7082.49711806    0.99968    0.00804
7082.49743056    0.99631    0.00820
7082.49774306    1.00416    0.00814
7082.49805556    1.00202    0.00808
7082.49836806    0.99867    0.00805
7082.49868056    0.99282    0.00822
7082.49899306    1.00111    0.00807
7082.49931713    1.00740    0.00795
7082.49962963    0.99904    0.00801
7082.49994213    1.00359    0.00801
7082.50025463    1.00238    0.00818
