time    RV    RV_err
# BJD-2400000    km/s    km/s (1sigma)
56948.4518    -12.420        0.011
56950.4111    -12.361        0.011
56974.3650    -12.357        0.015
56975.3435    -12.399        0.011
56977.3796    -12.363        0.012
56979.3954    -12.384        0.012
56980.3643    -12.417        0.011
56981.3799    -12.387        0.011
56982.3904    -12.331        0.011
57217.6072    -12.335        0.016
57218.5906    -12.331        0.012
57221.5984    -12.383        0.015
57222.6099    -12.305        0.017
57223.5609    -12.320        0.012
57224.5609    -12.384        0.012
57225.6049    -12.391        0.012
57241.5706    -12.340        0.012
57242.5667    -12.370        0.015
57246.5986    -12.345        0.012
57247.5554    -12.401        0.017
57275.4448    -12.398        0.014
57303.4575    -12.398        0.013
57304.4389    -12.340        0.011
57306.4954    -12.370        0.012
57330.3192    -12.405        0.015
57332.4111    -12.365        0.012
57333.3746    -12.372        0.011
57335.3457    -12.345        0.011
57365.3564    -12.398        0.016
